cn	A1Z746
ND-19	Q9W125
TyrRS-m	Q9W107
CG3776	Q9W0X3
mRpL17	Q9W0S6
ttm2	Q9W0S3
CG33791	E1JHW5
ABCB7	Q9W0C5
mRpL46	Q9W086
SCOT	Q9W058
CG11815	Q9W057
mRpL23	Q9W021
mRpS35	Q9VZX6
mge	M9PEJ1
Fdx2	Q8SZA8
mRpS6	Q9VZD5
CG7514	Q9VZ94
CG18418	Q9VZ93
ATPsynCF6L	Q9VZ72
Cyt-c1	Q9VRL0
Mcad	Q9VSA3
CG6638	Q9VSL9
mRpL2	Q9VTF8
Adck5	Q9VTG5
Bmcp	Q7K566
Tim13	Q9VTN3
CG14130	Q9VTP1
SdhAL	Q8SX97
CG14120	Q9VU22
CG14118	Q9VU24
CG10748	Q9VU28
CG10749	Q9VU29
CG11267	Q9VU35
mRpL20	Q9VU36
CG17300	Q9VU49
CG6661	Q95TY8
mRpL39	Q9VUJ0
mRpS31	Q9VUX1
ATPsynbetaL	Q8T4C4
CG6512	Q8IQQ9
ND-24L	Q9VVF0
QIL1	Q9VVH3
UQCR-Q	Q9VVH5
Cln3	Q9VVL0
CG7430	Q9VVL7
TrpRS-m	Q9VVL8
mRpS26	Q9VVN2
Cyp12c1	Q9VVR9
CG14077	Q9VVU8
CG6839	Q9VVU9
CG3819	Q9VVV1
mRpL21	Q9VVX4
Lon	Q7KUT2
CG8004	Q9VW58
Gabat	Q9VW68
Tom20	Q95RF6
mRpL15	Q9VPF6
ND-39	Q9VPE2
BNIP3	Q8IPU7
P5CDh1	Q9VNX4
CG7470	Q9VNW6
ND-B14.5AL	Q9VNT3
Suv3	Q9VN03
CG9855	Q9VN18
mRpL44	Q9VNC1
djl	Q9VI51
mRpS9	Q8SXF0
mRpL1	Q9VHT5
Coq2	Q9VHS7
COX7AL	Q9VHR9
mRpL19	Q9VHN6
CG8043	Q9VHN4
IscU	Q9VHK6
CG8199	Q9VHB8
CG9393	Q9VHB6
mtTFB2	Q9VH38
Cyp12e1	Q9VGZ0
tomboy20	Q9VGX9
Tengl4	Q9VGU3
CG6629	Q9VGT9
SdhC	Q9VGS3
CG5214	Q9VGQ1
mRpL40	Q9VGP7
Exd2	Q9VGN7
GC2	Q8INJ3
CG14740	Q95TZ4
CG7488	Q9VG07
CG9920	Q9VFN5
